id,cliente
text_33,text_12
,29
text_33,
,text_12
,text_12
83,error
,text_12
,
,
,29
,29
error,29
error,error
text_33,29
,error
,text_12
,error
,text_12
error,
,error
,29
,29
,error
,error
,
error,error
,error
,
,29
error,error
83,
83,29
,29
text_33,29
,29
83,text_12
,text_12
error,error
,
error,
,
,29
,error
83,
83,
83,
,text_12
,29
83,error
error,29
error,
83,
83,
text_33,error
text_33,
text_33,text_12
,text_12
text_33,
83,
,error
,error
,text_12
,
83,error
error,29
,text_12
text_33,29
text_33,
,
error,
error,29
,error
,
,text_12
83,text_12
,
83,
83,text_12
83,text_12
83,error
error,error
,29
text_33,
,
text_33,
83,error
,text_12
,
text_33,
83,text_12
error,text_12
,error
,
error,text_12
text_33,error
text_33,text_12
error,
error,29
,error
text_33,29
text_33,29
,
,
error,error
83,29
,29
error,error
83,29
error,
,
,error
error,text_12
text_33,text_12
,29
,text_12
,29
,error
error,error
text_33,
text_33,error
,text_12
83,29
text_33,
83,29
text_33,29
,error
error,
text_33,text_12
,
error,
text_33,29
,
83,
,
83,29
,
error,
error,
text_33,29
,
error,text_12
text_33,
error,
83,29
,29
83,
,text_12
,
83,error
83,error
,text_12
83,error
text_33,
text_33,
,29
text_33,
,29
text_33,29
text_33,error
error,text_12
error,text_12
,
83,29
,
,error
error,
error,
,29
,29
error,
error,text_12
error,
error,error
error,
error,
text_33,error
83,text_12
,
error,29
error,
,29
error,29
,29
83,text_12
error,
,
,
text_33,
,error
error,text_12
,text_12
83,
,text_12
,29
83,text_12
,text_12
error,
,29
,error
,
error,error
,
83,
error,
83,text_12
,text_12
error,error
,
,
,29
83,error
,error
text_33,error
,error
83,
text_33,29
error,text_12
83,
text_33,
error,29
error,
83,
83,
,
error,text_12
,error
,
error,error
83,
text_33,text_12
error,error
,text_12
,29
text_33,text_12
83,29
text_33,
,
83,text_12
,29
,error
83,29
,
error,
error,
,29
,29
text_33,error
error,
83,error
83,29
error,text_12
error,error
error,29
,
83,text_12
83,
error,error
83,
error,
text_33,29
text_33,
text_33,29
83,text_12
83,
,29
83,error
,text_12
error,text_12
,text_12
,
error,
,text_12
,text_12
,error
,error
text_33,29
text_33,
83,
,
error,
text_33,text_12
text_33,29
,29
text_33,text_12
,text_12
error,29
,29
,29
83,text_12
,error
text_33,29
,error
error,error
,
,error
error,
,29
text_33,text_12
error,
,text_12
,
83,error
,error
83,text_12
83,text_12
,error
,text_12
83,error
,29
text_33,error
error,
83,text_12
83,29
error,
,error
error,
error,
83,
,error
,error
text_33,error
text_33,text_12
text_33,
,error
error,error
error,
83,
error,
text_33,text_12
error,29
error,
,
error,
83,
error,
83,text_12
error,
error,
83,
83,
,error
text_33,error
,29
,29
83,error
error,
error,29
,text_12
error,29
error,
,error
,error
83,
,error
,29
text_33,
text_33,
error,29
,
,error
,29
83,
,
83,29
83,error
83,
text_33,text_12
text_33,text_12
,text_12
83,
,29
,
,
,text_12
error,text_12
,text_12
,
,29
error,29
,29
83,
83,error
,error
,error
error,text_12
83,29
83,29
text_33,
,text_12
83,
text_33,error
,text_12
,
text_33,
,error
83,text_12
,
,29
error,
,error
83,text_12
83,text_12
,text_12
error,error
,error
,
,
83,error
,29
,
,error
text_33,
83,29
83,29
text_33,
,text_12
83,
83,29
83,
error,
,29
83,error
,
error,
,
,error
text_33,error
,29
text_33,text_12
error,error
error,
text_33,
,text_12
text_33,
,text_12
text_33,text_12
,29
,
,
,
,29
,
83,text_12
text_33,error
83,
,29
83,
,error
,error
,
error,29
error,text_12
83,
text_33,
,text_12
,text_12
text_33,
error,29
83,
text_33,
,
error,text_12
,
error,
error,text_12
,
,text_12
,
,29
error,
,
83,29
83,error
error,
error,
,text_12
error,error
83,text_12
error,text_12
83,29
error,error
,29
,
text_33,text_12
error,
,error
83,
error,error
83,29
,
text_33,error
83,
83,
text_33,error
,29
error,error
error,
error,29
error,
83,error
,
,text_12
83,
text_33,error
83,text_12
error,
83,text_12
83,
83,text_12
,error
83,text_12
text_33,error
83,
83,text_12
,text_12
error,
error,29
text_33,text_12
,error
text_33,29
,
,
83,29
83,29
,29
,text_12
83,29
text_33,error
text_33,error
,error
,
error,29
error,29
error,
error,
,
,text_12
text_33,error
,
,error
83,
83,29
83,
text_33,text_12
error,text_12
,error
,
,29
,error
error,
83,error
text_33,text_12
,29
,text_12
error,29
,error
83,error
error,error
text_33,error
,
83,
,
error,text_12
,
,text_12
error,29
,29
83,error
83,text_12
83,
83,29
error,29
text_33,
text_33,
text_33,
error,error
83,error
text_33,
,29
,29
83,error
error,
,29
error,29
text_33,29
83,text_12
text_33,
83,error
83,
,29
text_33,29
,29
,
text_33,error
error,text_12
error,
text_33,
,
error,
text_33,
,
,
error,
83,
error,29
,29
error,error
error,29
,error
error,
,error
,29
83,29
,text_12
text_33,29
,
83,error
text_33,error
error,text_12
error,text_12
text_33,29
error,text_12
83,text_12
,error
83,text_12
text_33,text_12
error,
83,
error,text_12
83,29
text_33,
,
,error
error,error
83,
83,error
,text_12
error,
text_33,text_12
,29
,29
,
,error
,
,29
error,
error,
,29
83,29
,29
,
,29
text_33,
,text_12
,29
,
error,
error,text_12
,text_12
text_33,29
error,
83,text_12
text_33,
text_33,
error,29
,
83,
,29
83,
83,
,
83,error
,
text_33,error
text_33,error
error,29
,
text_33,
83,29
83,
,
83,error
,text_12
83,text_12
83,
83,
83,text_12
error,error
83,error
,29
error,29
83,
text_33,29
,
text_33,error
text_33,29
,error
,29
,
,
,29
,text_12
error,29
83,error
83,29
,
error,error
,
text_33,
,error
83,
error,
83,
error,29
text_33,
,
83,
error,
83,
text_33,
83,error
error,
,error
,
text_33,
error,29
,text_12
83,text_12
,
error,text_12
,error
,
83,
83,
error,
error,error
83,text_12
,
83,
error,text_12
error,error
83,error
83,
error,29
83,text_12
83,
83,text_12
text_33,text_12
text_33,
text_33,29
,text_12
83,29
,
text_33,error
83,29
83,text_12
error,29
text_33,
,text_12
,29
error,29
,
,29
error,text_12
83,error
error,29
,error
83,
error,
text_33,text_12
text_33,
text_33,
,
,
,29
83,29
,error
,error
error,error
text_33,
,error
error,text_12
83,text_12
83,
error,text_12
text_33,
,
,
error,text_12
text_33,error
error,error
error,
83,error
error,error
error,
text_33,error
83,29
83,text_12
,text_12
error,
,29
error,text_12
text_33,
,error
error,29
,error
error,29
,
text_33,text_12
,
,error
83,
83,error
,
,
error,text_12
83,
,29
83,error
,29
text_33,29
,text_12
text_33,error
text_33,error
,29
text_33,
83,
,text_12
text_33,29
83,text_12
,
83,text_12
text_33,error
error,
,text_12
,error
,29
error,text_12
,error
text_33,
83,29
error,29
text_33,29
,
,error
error,error
83,29
text_33,error
text_33,29
error,
error,29
error,
text_33,
,29
,text_12
,text_12
,error
83,29
,29
text_33,29
error,29
error,
83,
,
text_33,29
,
text_33,
text_33,29
83,
error,
,error
error,
,text_12
text_33,
83,
,text_12
83,error
text_33,
text_33,
text_33,
text_33,error
,
,error
83,29
,
,29
error,29
,
83,
error,29
,
,error
,
text_33,text_12
83,text_12
error,error
,29
,
,29
text_33,text_12
83,error
text_33,
error,text_12
error,29
83,
,text_12
error,
text_33,29
text_33,text_12
text_33,
83,error
text_33,
,text_12
,
,29
,
,29
text_33,
,text_12
error,error
error,
text_33,text_12
text_33,text_12
error,29
text_33,29
error,
,29
text_33,29
,29
,text_12
,
,29
text_33,29
error,
text_33,29
,
,error
text_33,text_12
83,
83,29
text_33,29
text_33,29
error,error
,error
83,text_12
text_33,29
83,text_12
,
error,text_12
,error
83,error
error,29
error,text_12
error,
text_33,29
,
text_33,text_12
,error
,text_12
,text_12
,text_12
83,29
text_33,text_12
error,text_12
83,
83,29
83,error
text_33,text_12
83,
,text_12
text_33,error
,text_12
,
,29
,
83,29
83,error
text_33,text_12
,29
text_33,text_12
text_33,error
,error
83,text_12
,error
error,text_12
,
83,
,29
text_33,error
error,error
,
,
text_33,error
,error
,error
text_33,text_12
,29
,error
83,
error,text_12
text_33,
text_33,text_12
,
text_33,29
,error
error,error
text_33,text_12
83,text_12
,
83,text_12
,error
83,error
,29
83,text_12
error,text_12
error,error
text_33,29
text_33,text_12
text_33,
error,
error,
text_33,error
,
83,error
,text_12
,29
,
,29
83,text_12
,text_12
83,text_12
83,29
text_33,
,29
text_33,
text_33,text_12
83,
,
text_33,
83,text_12
,error
text_33,
error,
83,text_12
error,
,
error,text_12
,
,text_12
,29
error,
,error
text_33,29
,
error,
83,29
,error
error,error
,text_12
,29
83,29
,error
error,
,
83,
error,
,
text_33,
,error
text_33,29
text_33,
text_33,
,
error,29
,text_12
,29
,text_12
,29
error,
83,text_12
text_33,29
error,
text_33,
,error
,error
text_33,text_12
83,error
,
,
error,
,error
error,error
,
,
,29
83,
83,
,text_12
83,text_12
,text_12
,text_12
83,
,
83,
83,text_12
83,29
83,
text_33,29
,
text_33,error
,29
text_33,
83,error
83,
error,
83,text_12
83,text_12
error,
83,
,text_12
83,error
error,error
error,text_12
83,29
text_33,error
,error
text_33,29
,text_12
83,error
83,error
error,
83,
text_33,text_12
,
,error
,
error,
83,text_12
,error
error,29
,error
83,text_12
,text_12
error,text_12
83,
,error
,
text_33,text_12
,
83,29
,error
,
,text_12
error,
,
text_33,29
text_33,29
,text_12
error,
error,
text_33,
error,text_12
,error
83,text_12
83,text_12
error,text_12
error,29
83,
text_33,
error,29
,error
,error
error,
83,text_12
,29
,
error,
,error
,text_12
,
,error
text_33,29
text_33,29
error,
text_33,
text_33,
error,29
,text_12
error,error
,text_12
83,
text_33,
error,
error,error
,text_12
text_33,error
,text_12
text_33,
,
,29
,error
83,
,text_12
,
83,error
83,text_12
83,29
error,
,
,error
error,
,
,29
error,text_12
83,text_12
,
error,error
error,29
error,
83,29
,
,error
text_33,error
text_33,
,text_12
,
text_33,29
error,
83,
error,
error,
83,text_12
text_33,
error,error
error,text_12
text_33,text_12
83,error
text_33,
,
,
,29
83,
error,
error,29
error,
,text_12
,text_12
,error
83,text_12
83,
,text_12
83,
83,
text_33,error
83,29
,29
text_33,29
83,text_12
83,error
error,
,error
text_33,error
83,text_12
83,
text_33,
,
text_33,text_12
error,
text_33,29
text_33,text_12
83,
,error
error,error
error,29
,error
error,text_12
83,text_12
error,
error,
83,text_12
,
,
error,
83,29
,text_12
83,error
,
error,
83,
error,text_12
,text_12
83,
text_33,
error,29
error,text_12
error,29
,error
83,
,text_12
error,
text_33,29
,text_12
,
83,
83,
text_33,
,text_12
text_33,
83,
error,29
error,text_12
83,
,29
83,error
text_33,29
error,
text_33,29
,
,error
,text_12
,
error,
,
,
,29
,
error,
,29
,
,text_12
83,text_12
error,
text_33,
,29
,error
,29
,text_12
,29
error,
83,
83,
error,
,error
text_33,error
,error
,text_12
text_33,
83,
,29
text_33,
,
,
error,
83,
83,29
text_33,text_12
83,error
error,text_12
text_33,text_12
error,
error,
text_33,29
error,error
text_33,
,
text_33,
error,text_12
,
error,
,
text_33,29
83,
,
,29
83,text_12
text_33,text_12
text_33,29
text_33,text_12
text_33,
83,error
,
text_33,29
83,
,29
83,text_12
text_33,
text_33,error
,29
,error
83,text_12
83,error
error,
,error
,
,error
83,29
error,error
83,
83,
83,
error,
,
,error
,error
,error
83,error
text_33,text_12
,
,text_12
83,
83,
text_33,29
,29
83,29
error,
error,error
error,
error,29
error,
text_33,error
,
,error
error,
error,
,29
error,29
text_33,text_12
83,
text_33,
83,
error,29
error,29
,error
text_33,text_12
,text_12
83,text_12
error,
text_33,
83,
error,29
error,text_12
error,
,29
83,29
83,29
text_33,text_12
83,
83,text_12
,error
error,error
,
83,
,29
,
error,
text_33,error
83,error
error,
text_33,
,
,text_12
text_33,error
,error
,
text_33,
error,29
error,
,
,29
83,
text_33,text_12
83,error
,text_12
text_33,
,error
83,
error,
,
error,
,
83,29
text_33,29
,
error,text_12
,
83,29
,error
text_33,
text_33,text_12
,
text_33,error
,29
,error
text_33,
text_33,error
,29
,
error,
,text_12
83,
error,
error,
83,
,error
text_33,
text_33,
error,
,error
,
,
83,
,29
error,29
83,
text_33,error
,
,error
,error
error,
83,29
,29
,
83,text_12
,text_12
error,error
text_33,
,29
,29
error,29
text_33,error
text_33,
,error
error,29
83,
error,
83,error
error,error
,29
text_33,
83,
,
text_33,29
text_33,text_12
error,
,29
text_33,
text_33,text_12
,text_12
text_33,error
83,
error,
text_33,text_12
,error
83,
,error
,29
,
error,29
83,29
text_33,
83,
,text_12
,error
,29
error,29
text_33,
error,
,text_12
,29
text_33,
,
,text_12
83,error
error,29
,error
error,text_12
83,
error,29
,
error,
83,text_12
error,
83,
83,
error,29
text_33,
text_33,text_12
,
error,
,
text_33,
error,
text_33,
error,text_12
text_33,29
text_33,29
83,text_12
83,text_12
83,29
,error
text_33,text_12
error,29
text_33,
,text_12
,text_12
error,error
83,
text_33,
,
error,29
error,error
83,
,
error,
,
,text_12
error,29
error,text_12
83,
83,
,
83,
,
text_33,29
83,
text_33,29
text_33,
error,
83,
text_33,error
error,text_12
,
text_33,29
83,error
text_33,text_12
error,error
,
error,29
,error
83,
83,29
,29
,29
,text_12
error,text_12
error,error
83,error
error,text_12
error,
text_33,
text_33,error
text_33,29
83,
83,
error,text_12
,
,
error,
error,
,text_12
error,
,
error,
text_33,29
,text_12
,29
83,error
,error
83,29
error,
,text_12
error,
83,error
error,29
83,
,error
,29
text_33,
83,
error,29
error,
,
83,
text_33,error
,
,
,
text_33,error
,text_12
,29
,text_12
,
text_33,error
,text_12
83,error
,error
83,error
,error
text_33,
,text_12
,text_12
83,
text_33,
,29
error,error
,29
,
error,29
83,
,error
error,
,
83,error
83,text_12
text_33,text_12
,29
error,
,
error,error
text_33,
text_33,
,text_12
,error
text_33,error
,error
,29
,text_12
83,
83,text_12
,
83,
error,
error,
,
,
83,
,
error,
error,
error,
83,
,
,
,text_12
83,
error,text_12
83,text_12
error,error
error,error
,error
,
83,29
,error
,
text_33,error
,29
,error
83,
error,error
,29
,
,text_12
,
,error
,29
,error
83,29
83,error
83,error
,
,
83,
text_33,text_12
83,29
text_33,
text_33,error
text_33,text_12
text_33,29
,error
,29
,text_12
,text_12
error,
text_33,
,text_12
83,error
,
error,
,error
83,error
,text_12
error,text_12
83,29
83,error
text_33,error
,29
,
,
,29
,error
,
83,
,
,error
text_33,error
error,text_12
83,error
,29
text_33,29
,
text_33,29
83,
,
,29
,
error,text_12
83,error
text_33,
,error
error,
error,text_12
text_33,29
,
error,error
error,
,
text_33,29
,error
,29
,
error,
error,error
83,
text_33,
error,
83,error
,29
text_33,text_12
,
error,error
,
,
error,text_12
text_33,
,error
error,error
error,
83,29
,error
,text_12
,error
,error
83,
,text_12
83,error
error,text_12
83,
,
,text_12
,
,error
83,29
error,text_12
error,
,29
text_33,
text_33,
error,error
,
83,error
83,error
,error
,text_12
error,
error,text_12
83,text_12
,text_12
83,29
,
83,
,
text_33,
error,error
,29
83,error
,
error,error
text_33,text_12
error,
text_33,29
,text_12
83,29
83,29
83,
error,29
83,
error,
83,29
,
,29
,29
83,
83,error
error,error
,29
83,
text_33,error
text_33,
text_33,29
text_33,
,text_12
text_33,text_12
83,text_12
error,
,error
,text_12
error,
,error
83,text_12
83,text_12
83,error
83,
text_33,29
text_33,error
error,text_12
,
83,error
83,29
,
83,29
,
,
83,error
error,error
text_33,29
error,
error,error
,text_12
,error
,
83,
text_33,error
text_33,
,error
83,text_12
,
,
83,
text_33,
,text_12
text_33,29
error,
,text_12
error,29
,text_12
text_33,
,error
text_33,error
text_33,
error,
error,
,
,
error,
,
,error
,29
,
,error
error,text_12
,text_12
,error
,
,
,29
83,29
,29
error,
text_33,29
error,29
error,
,
text_33,29
error,error
error,
,error
,
,29
83,error
text_33,text_12
,error
,29
,text_12
text_33,
error,text_12
83,error
,text_12
,
error,
83,error
,
error,text_12
,text_12
,text_12
83,
83,29
error,29
text_33,29
,text_12
83,
error,
83,error
,text_12
text_33,29
,
text_33,
83,29
,
,
,29
error,error
text_33,
text_33,
text_33,error
text_33,
error,
error,29
text_33,
83,
,text_12
,29
,text_12
text_33,
,error
,text_12
,29
83,
text_33,29
text_33,29
83,text_12
,error
text_33,
,text_12
error,text_12
83,29
text_33,
,
83,29
,29
text_33,text_12
text_33,
,text_12
83,
error,
,error
error,
,
error,29
83,text_12
text_33,
,
text_33,
,29
text_33,error
,29
,text_12
83,
text_33,error
text_33,
83,text_12
error,
,
83,29
,
83,text_12
,text_12
,error
text_33,29
,text_12
,text_12
,
83,text_12
,
83,error
,
,29
error,
,error
83,29
83,
,29
83,29
,
error,29
83,29
text_33,29
,error
83,
83,29
,
,29
83,text_12
,29
,29
error,
,text_12
,error
83,29
,
text_33,text_12
error,error
text_33,
error,29
error,
,error
,error
error,
error,error
,
,29
,29
text_33,error
text_33,
,29
text_33,
text_33,error
,text_12
text_33,
83,error
83,29
text_33,
text_33,29
83,text_12
83,
error,29
error,
,text_12
text_33,
,
,
,
,text_12
,error
text_33,error
83,
error,
text_33,
text_33,
text_33,error
83,
,
83,29
,
error,text_12
83,
text_33,error
83,29
text_33,
error,text_12
error,29
83,text_12
error,29
text_33,
,text_12
,
error,
text_33,text_12
,
,error
,
,error
error,text_12
error,text_12
error,
text_33,text_12
text_33,
error,text_12
,29
83,text_12
text_33,
text_33,error
text_33,error
83,error
83,
error,error
text_33,error
text_33,error
,
error,text_12
83,29
,29
,error
,
,
error,error
error,error
,error
error,
text_33,
83,
83,text_12
83,
,text_12
text_33,
text_33,
,
error,
text_33,error
,text_12
,error
text_33,text_12
,
text_33,29
error,
error,error
,
text_33,
,
text_33,
83,
text_33,
error,
,
83,
error,
83,
,
83,29
,error
,text_12
83,error
,error
error,error
text_33,text_12
,
83,29
83,text_12
error,
text_33,29
,error
error,error
error,text_12
83,error
83,
83,
83,
,text_12
83,29
,
,text_12
,
error,
83,error
text_33,29
,text_12
error,error
,text_12
,29
,error
,error
,error
,
83,
error,29
,
text_33,text_12
83,error
83,
text_33,text_12
text_33,error
text_33,error
text_33,
,
error,error
error,
,
,
error,
,
83,29
error,
,
,error
error,
error,text_12
,
,
,
text_33,29
,
83,error
text_33,text_12
,
,
text_33,
error,29
error,29
text_33,
83,error
error,
,
error,
83,
,
,text_12
error,29
,text_12
error,
text_33,text_12
,29
83,text_12
,
83,error
,error
error,29
error,
,text_12
,text_12
error,error
,29
83,29
,29
,29
error,29
,29
,
83,29
83,
,29
,error
,error
83,text_12
83,
83,
83,text_12
text_33,
,error
text_33,29
,29
,
error,29
,
text_33,
,
,error
error,29
text_33,error
,error
text_33,29
,29
error,text_12
83,
text_33,
text_33,
,29
83,error
83,
,error
,
83,
text_33,29
83,
,
error,
text_33,
error,
83,text_12
,
error,text_12
,
,29
error,text_12
83,
text_33,error
,error
,29
83,text_12
,29
,
,text_12
83,error
83,
83,text_12
,error
text_33,29
,29
,
,error
,text_12
,
,
text_33,
error,error
83,text_12
,text_12
,text_12
,
,
83,error
error,
,text_12
text_33,text_12
text_33,error
text_33,error
,text_12
83,29
error,
,29
83,text_12
error,29
text_33,error
error,
text_33,error
error,29
83,29
,error
,
83,29
,error
,error
error,error
,text_12
,
error,
83,text_12
error,
,
error,
,29
,text_12
83,error
83,
,29
,
,
,error
,
,error
,29
error,29
text_33,
,
,29
error,error
83,
,
83,29
,text_12
text_33,
,error
,text_12
,error
83,
text_33,
,error
83,
,error
,error
error,
